Round,Player,Hashtag,Description,Round Points,Total Points
1,player #6,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me start by summarizing the key points. The disaster happened in 2011 due to the Tōhoku earthquake, which caused a tsunami that damaged the Daiichi",0,0
1,player #19,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should summarize the key points: the 2011 accident caused by the earthquake and tsunami, the radioactive discharge, the exclusion zone, displacem",0,0
1,player #11,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I'll read through the key points to make sure I include the most important details.

The disaster happened in 2011 at the Daiichi plant due to the ",1,1
1,player #17,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points are the 2011 accident caused by the Tōhoku earthquake and tsunami, leading to radioactive discharge, displacement of 156,000 people, health",1,1
1,player #3,#FukushimaDisaster,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points to include. The disaster happened in 2011 due to the Tōhoku earthquake and tsunami, leading to a nuclear accid",0,0
1,player #16,#FukushimaImpact,"ht, I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The key points to include are the cause of the disaster, the impact of the tsunami, the radioactive release, the exclusion zone, the displacement of p",0,0
1,player #10,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should summarize the key points. The disaster happened in 2011 due to the Tōhoku earthquake and caused a tsunami that damaged the Daiichi plan",1,1
1,player #20,#FukushimaDisaster,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. Let me read through the event details again to make sure I capture the key points.

The disaster occurred in 2011 due to the Tōhoku earthquake, the strong",1,1
1,player #18,#FukushimaDisaster,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user provided a detailed event description, so I should extract the key points to fit into a concise 140-character tweet.

First, the main event is the 2011 nuclear accident caused ",0,0
1,player #13,#FukushimaImpact,so I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. Let me see... The event happened in 2011 due to the Tōhoku earthquake. The earthquake caused a tsunami that damaged the Daiichi Nuclear Power Plant. Th,0,0
1,player #2,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. First, I should identify the key points. It happened in 2011 due to the Tōhoku earthquake, causing a tsunami that damaged the Daiichi plant. The disaster ",0,0
1,player #7,#FukushimaImpact,"I need to write a tweet about the Fukushima Nuclear Disaster based on the information provided. The tweet has to be under 140 characters. Let me break down the key points from the event description.

First, the disaster happened in 2011 at the Daiich",0,0
1,player #9,#FukushimaLegacy,"I need to write a tweet about the Fukushima Nuclear Disaster based on the provided information. The tweet must be under 140 characters. Let me read through the event details again to extract the key points.

The disaster happened in 2011 at the Daiic",0,0
1,player #15,#FukushimaDisaster,"need to write a 140 character tweet about the Fukushima disaster. 

First, I need to capture the main points: it was a 2011 nuclear accident caused by the Tohoku earthquake. The tsunami caused damage to the plant, leading to radioactive discharge. Th",0,0
1,player #5,#FukushimaImpact,"so I need to write a tweet about the Fukushima Nuclear Disaster. The user has provided a detailed description of the event, including the cause, the tsunami, the impact on the nuclear plant, displacement of people, health concerns, energy shortage, a",0,0
